数据分析专家(助力车)(J12502),莘庄,3天前发布,哈啰出行,20k-40k,20k-40k 经验不限 / 本科,
数据分析专家(助力车)(J12502),莘庄,3天前发布,哈啰出行,25k-35k,25k-35k 经验1年以下 / 本科,
数据分析师,浦东新区,15:58发布,平安金服,30k-60k,30k-60k 经验3-5年 / 本科,
数据分析师,漕河泾,15:33发布,Garena,18k-30k·13薪,18k-30k·13薪 经验不限 / 本科,
数据分析师,新天地,15:18发布,小红书,15k-30k·15薪,15k-30k·15薪 经验不限 / 本科,
数据分析专家,延吉,15:41发布,上海识致信息科技有限责任公司,25k-45k·16薪,25k-45k·16薪 经验5-10年 / 本科,
数据分析师,漕宝路,14:48发布,返利网,12k-23k,12k-23k 经验3-5年 / 本科,
数据分析师,长宁区,14:55发布,数数科技,10k-20k,10k-20k 经验1-3年 / 本科,
数据分析师,花木,15:06发布,上海浩宜信息科技有限公司,5k-7k,5k-7k 经验1-3年 / 本科,
数据分析,徐汇区,15:14发布,上海科发,12k-16k,12k-16k 经验1-3年 / 硕士,
数据分析,徐汇区,15:05发布,爱可生,13k-23k,13k-23k 经验3-5年 / 本科,
数据分析师,延吉,14:29发布,得物App,25k-50k·16薪,25k-50k·16薪 经验5-10年 / 不限,
数据分析师,吴淞,13:55发布,微盟,15k-30k·13薪,15k-30k·13薪 经验5-10年 / 本科,
数据分析师,徐家汇,14:23发布,Convert lab,15k-30k·14薪,15k-30k·14薪 经验3-5年 / 本科,
数据分析师,张江,13:32发布,新萌网络,15k-25k,15k-25k 经验1-3年 / 本科,
数据分析专员,田林,13:49发布,天邦股份,4k-7k,4k-7k 经验1-3年 / 本科,
数据分析师,天山路,17:40发布,樊登读书,10k-15k·13薪,10k-15k·13薪 经验应届毕业生 / 本科,
高级数据分析师,长阳路,13:24发布,诺亚（中国）控股有限公司,18k-24k,18k-24k 经验3-5年 / 本科,
数据分析专家,延吉,11:39发布,虎扑,25k-50k·16薪,25k-50k·16薪 经验3-5年 / 本科,
数据分析师,虹口区,10:53发布,G7,15k-20k,15k-20k 经验3-5年 / 本科,
数据分析实习生,张江,15:38发布,趣头条,3k-5k,3k-5k 经验不限 / 本科,
数据分析师,中山公园,10:59发布,乐其电商,7k-12k,7k-12k 经验1-3年 / 本科,
高级数据分析师,潍坊,10:30发布,安居客,15k-20k,15k-20k 经验3-5年 / 本科,
数据分析师,中山公园,11:47发布,CraiditX,15k-25k,15k-25k 经验1-3年 / 本科,
数据分析师,中山公园,11:47发布,CraiditX,18k-30k,18k-30k 经验3-5年 / 本科,
